cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	gene
2369	chrI	206970	207102	-	207101	15.209794	3.414443	207016	207101	86	NA
2370	chrI	207275	207386	-	207352	6.518484	1.55202	207318	207356	39	NA
2371	chrI	207635	207731	-	207686	9.001716	1.241616	207659	207730	72	NA
2372	chrI	208069	208104	-	208069	10.553734	2.793635	208069	208093	25	NA
2373	chrI	208605	208718	-	208669	11.174542	4.345655	208632	208693	62	NA
2374	chrI	208856	208868	-	208860	2.483232	0.931212	208856	208868	13	NA
2376	chrI	209204	209237	-	209204	1.55202	0.310404	209204	209237	34	NA
2378	chrI	222257	222313	-	222280	2.483232	0.620808	222257	222313	57	NA
2379	chrI	223009	223069	-	223022	7.449695	1.862423	223018	223053	36	NA
2380	chrI	227236	227274	-	227274	2.483232	0.931212	227236	227274	39	NA
2448	chrII	29348	29359	-	29359	1.241616	0.620808	29348	29359	12	NA
2450	chrII	36226	36291	-	36234	23.280293	8.070501	36226	36246	21	NA
2451	chrII	36820	36833	-	36829	2.172828	0.931212	36820	36833	14	NA
2452	chrII	40525	40555	-	40545	2.793636	0.931212	40525	40555	31	NA
2453	chrII	43005	43044	-	43011	1.55202	0.620808	43005	43044	40	NA
2471	chrII	49665	49678	-	49666	1.862424	0.931212	49665	49678	14	NA
2472	chrII	49863	49885	-	49868	3.724848	1.55202	49868	49885	18	NA
2563	chrII	92190	92232	-	92219	6.828887	2.793635	92204	92222	19	NA
2641	chrII	126301	126331	-	126301	1.241616	0.310404	126301	126331	31	NA
2642	chrII	126452	126630	-	126498	14.588987	2.172827	126464	126610	147	NA
2644	chrII	126844	126901	-	126867	1.862424	0.620808	126844	126901	58	NA
2645	chrII	127500	127631	-	127561	81.325827	17.693022	127529	127590	62	NA
2690	chrII	146898	147006	-	146962	10.553735	1.862423	146907	146974	68	NA
2722	chrII	161445	161472	-	161470	4.345656	1.241616	161445	161472	28	NA
2736	chrII	165776	165900	-	165893	7.449695	2.172827	165796	165893	98	NA
2737	chrII	165984	166097	-	166001	6.828888	0.931212	166001	166067	67	NA
2738	chrII	166476	166502	-	166497	2.793636	1.241616	166476	166502	27	NA
2739	chrII	166588	166972	-	166955	225.974052	46.560585	166723	166955	233	NA
2742	chrII	169760	170045	-	169950	480.194846	94.67319	169890	169950	61	NA
2743	chrII	170129	170134	-	170134	2.793635	2.172827	170129	170134	6	NA
2744	chrII	170374	170469	-	170429	63.011994	17.382618	170374	170452	79	NA
2745	chrII	170670	170714	-	170670	1.241616	0.620808	170670	170714	45	NA
2747	chrII	172089	172126	-	172114	2.483232	0.620808	172089	172126	38	NA
2748	chrII	172180	172270	-	172234	6.208079	2.483231	172206	172260	55	NA
2780	chrII	184464	184537	-	184507	9.001714	2.172827	184478	184537	60	NA
2781	chrII	184876	184942	-	184942	4.65606	1.241616	184876	184942	67	NA
2782	chrII	185115	185136	-	185115	1.55202	0.931212	185115	185136	22	NA
2815	chrII	193251	193276	-	193262	2.793636	0.620808	193251	193276	26	NA
2816	chrII	193428	193577	-	193479	8.691312	0.931212	193443	193571	129	NA
2817	chrII	193849	193944	-	193911	7.760099	2.793635	193879	193932	54	NA
2818	chrII	195692	195726	-	195725	4.656059	2.483231	195713	195725	13	NA
2819	chrII	195833	195904	-	195886	3.414444	1.241616	195845	195890	46	NA
2820	chrII	196106	196124	-	196106	2.172827	1.862423	196106	196124	19	NA
2821	chrII	197316	197319	-	197316	1.55202	1.241616	197316	197319	4	NA
2823	chrII	198220	198312	-	198312	20.486659	5.276866	198261	198312	52	NA
2824	chrII	198706	198784	-	198737	13.036966	5.897674	198734	198780	47	NA
2836	chrII	203000	203093	-	203057	4.966464	0.931212	203000	203089	90	NA
2867	chrII	219647	219680	-	219647	1.862424	0.931212	219647	219680	34	NA
2868	chrII	219924	219925	-	219924	1.241616	0.931212	219924	219925	2	NA
2869	chrII	220474	220503	-	220474	8.070501	4.035251	220474	220476	3	NA
2870	chrII	220662	220812	-	220765	22.659489	3.724847	220704	220793	90	NA
2871	chrII	220861	221105	-	221022	118.574295	12.416156	220968	221066	99	NA
2872	chrII	235183	235217	-	235212	1.241616	0.620808	235183	235217	35	NA
2877	chrII	236959	237003	-	236959	1.241616	0.620808	236959	237003	45	NA
2906	chrII	246668	246720	-	246677	2.172828	0.931212	246668	246720	53	NA
2907	chrII	248541	248602	-	248541	14.588985	3.104039	248541	248588	48	NA
2934	chrII	260559	260566	-	260566	1.241616	0.931212	260559	260566	8	NA
2951	chrII	270582	270643	-	270621	2.483232	0.620808	270582	270643	62	NA
2970	chrII	280832	280953	-	280929	10.553736	1.241616	280837	280938	102	NA
2971	chrII	282901	282901	-	282901	1.241616	1.241616	282901	282901	1	NA
2972	chrII	283446	283570	-	283530	34.454835	7.13929	283471	283530	60	NA
2974	chrII	283798	283864	-	283849	6.208079	2.793635	283821	283864	44	NA
2975	chrII	283975	284037	-	283988	3.414444	0.931212	283979	284037	59	NA
2976	chrII	284100	284133	-	284115	4.656058	1.862423	284112	284133	22	NA
2993	chrII	288999	289067	-	288999	4.035252	0.620808	288999	289067	69	NA
2994	chrII	289127	289220	-	289175	16.761812	4.035251	289127	289200	74	NA
2995	chrII	289428	289441	-	289428	1.55202	0.931212	289428	289441	14	NA
2996	chrII	290229	290260	-	290245	2.483232	1.241616	290229	290260	32	NA
2997	chrII	290555	290638	-	290555	3.10404	0.620808	290555	290622	68	NA
3021	chrII	299847	299917	-	299891	6.518483	2.483231	299850	299907	58	NA
3022	chrII	301319	301339	-	301319	1.241616	0.310404	301319	301339	21	NA
3023	chrII	301538	301545	-	301545	1.862424	0.931212	301538	301545	8	NA
3025	chrII	303591	303654	-	303654	3.414444	1.241616	303605	303654	50	NA
3026	chrII	303751	303849	-	303818	2.793636	0.620808	303751	303849	99	NA
3030	chrII	304354	304511	-	304497	32.592413	9.312117	304420	304497	78	NA
3044	chrII	307938	308082	-	308082	49.043822	11.484944	307965	308082	118	NA
3054	chrII	315275	315298	-	315275	2.172828	1.55202	315275	315298	24	NA
3056	chrII	317072	317094	-	317072	1.55202	0.620808	317072	317094	23	NA
3057	chrII	318425	318469	-	318425	2.483232	0.931212	318425	318469	45	NA
3079	chrII	327726	327810	-	327774	10.864139	1.862423	327748	327800	53	NA
3080	chrII	328055	328108	-	328088	13.657773	2.172827	328066	328108	43	NA
3097	chrII	334332	334360	-	334332	1.55202	0.931212	334332	334360	29	NA
3126	chrII	341760	341836	-	341760	1.862424	0.310404	341760	341836	77	NA
3127	chrII	341964	341980	-	341973	2.793636	0.931212	341964	341980	17	NA
3131	chrII	343928	344009	-	343982	10.553736	1.55202	343931	344003	73	NA
3132	chrII	344182	344185	-	344182	1.241616	0.931212	344182	344185	4	NA
3144	chrII	349648	349665	-	349648	1.55202	0.931212	349648	349665	18	NA
3145	chrII	349989	350014	-	350012	3.10404	1.241616	349991	350014	24	NA
3148	chrII	350658	350786	-	350753	31.971604	9.622521	350739	350770	32	NA
3224	chrII	373750	373779	-	373750	1.55202	0.620808	373750	373779	30	NA
3249	chrII	380908	381456	-	381229	158.92681	12.72656	380968	381360	393	NA
3251	chrII	381555	381691	-	381608	5.897676	1.55202	381555	381668	114	NA
3255	chrII	390623	390694	-	390655	3.724848	1.55202	390626	390673	48	NA
3256	chrII	390762	390782	-	390782	1.241616	0.620808	390762	390782	21	NA
3258	chrII	390981	391012	-	390992	5.897675	3.414443	390983	391012	30	NA
3259	chrII	391042	391162	-	391135	5.276868	0.931212	391058	391150	93	NA
3267	chrII	393844	393926	-	393926	1.55202	0.620808	393844	393926	83	NA
3268	chrII	394058	394139	-	394103	4.035252	0.931212	394082	394122	41	NA
3310	chrII	406245	406274	-	406266	37.248469	17.382618	406249	406266	18	NA
3317	chrII	408331	408403	-	408403	8.691311	3.414443	408345	408403	59	NA
3318	chrII	408444	408583	-	408529	24.832314	7.449694	408446	408560	115	NA
3319	chrII	409177	409192	-	409192	1.241616	0.931212	409177	409192	16	NA
3320	chrII	409390	409411	-	409410	6.208079	3.724847	409390	409410	21	NA
3321	chrII	410774	410815	-	410774	1.241616	0.620808	410774	410815	42	NA
3327	chrII	417216	417241	-	417217	2.172828	0.931212	417216	417241	26	NA
3328	chrII	417316	417399	-	417377	6.20808	1.241616	417331	417377	47	NA
3329	chrII	417564	417623	-	417585	6.828887	3.414443	417566	417613	48	NA
3330	chrII	417772	417800	-	417778	3.10404	1.55202	417772	417800	29	NA
3331	chrII	418067	418089	-	418080	91.879556	69.22007	418069	418080	12	NA
3332	chrII	418834	419092	-	418834	321.26805	147.441853	418834	419092	259	NA
3388	chrII	436703	436788	-	436720	53.389475	16.761811	436720	436776	57	NA
3389	chrII	441297	441332	-	441313	1.55202	0.620808	441297	441332	36	NA
3407	chrII	450879	450905	-	450879	1.55202	0.620808	450879	450905	27	NA
3413	chrII	453492	453521	-	453521	1.55202	0.620808	453492	453521	30	NA
3423	chrII	460663	460711	-	460695	2.483232	0.931212	460663	460711	49	NA
3424	chrII	460849	460887	-	460887	1.862424	1.241616	460849	460887	39	NA
3448	chrII	466779	466830	-	466825	5.587271	2.793635	466779	466830	52	NA
3484	chrII	477464	477512	-	477476	8.69131	2.483231	477467	477488	22	NA
3485	chrII	479390	479402	-	479402	1.241616	0.931212	479390	479402	13	NA
3487	chrII	480019	480019	-	480019	1.241616	1.241616	480019	480019	1	NA
3538	chrII	499466	499487	-	499486	5.897675	3.104039	499466	499486	21	NA
3539	chrII	499613	499644	-	499617	2.172828	0.620808	499613	499644	32	NA
3562	chrII	512669	512707	-	512698	3.414444	1.241616	512674	512698	25	NA
3632	chrII	534941	535017	-	534978	22.969891	4.966462	534970	535006	37	NA
3633	chrII	536215	536264	-	536226	7.13929	3.104039	536215	536241	27	NA
3636	chrII	539285	539351	-	539318	25.453121	9.001713	539318	539351	34	NA
3637	chrII	539440	539445	-	539440	4.966463	4.656059	539440	539440	1	NA
3638	chrII	539509	539552	-	539543	9.932926	2.172827	539517	539552	36	NA
3639	chrII	539681	539802	-	539706	18.934642	2.483231	539687	539783	97	NA
3640	chrII	539940	540027	-	539997	4.035252	0.931212	539942	540004	63	NA
3641	chrII	540294	540384	-	540294	3.724848	0.931212	540294	540384	91	NA
3642	chrII	541024	541075	-	541053	4.345655	1.862423	541039	541055	17	NA
3659	chrII	546137	546284	-	546157	8.691312	1.55202	546137	546247	111	NA
3660	chrII	546324	546448	-	546355	5.897676	0.931212	546327	546441	115	NA
3661	chrII	547062	547074	-	547074	1.55202	1.241616	547062	547074	13	NA
3663	chrII	547738	547738	-	547738	1.55202	1.55202	547738	547738	1	NA
3690	chrII	555332	555366	-	555353	2.172828	0.620808	555332	555366	35	NA
3692	chrII	555652	555738	-	555673	19.555448	7.13929	555661	555692	32	NA
3695	chrII	556109	556149	-	556135	4.035252	1.241616	556120	556138	19	NA
3696	chrII	558399	558505	-	558399	4.966464	0.620808	558399	558493	95	NA
3697	chrII	560722	560766	-	560766	5.587272	1.55202	560731	560766	36	NA
3698	chrII	560896	561062	-	560994	30.72999	4.656059	560943	561014	72	NA
3699	chrII	561186	561199	-	561186	1.55202	0.931212	561186	561199	14	NA
3701	chrII	562250	562281	-	562265	1.862424	0.931212	562250	562281	32	NA
3702	chrII	562522	562567	-	562535	2.172828	1.241616	562522	562567	46	NA
3703	chrII	562774	562824	-	562774	1.241616	0.620808	562774	562824	51	NA
3710	chrII	567039	567106	-	567039	2.483232	0.931212	567039	567106	68	NA
3760	chrII	584543	584598	-	584592	1.862424	0.620808	584543	584598	56	NA
3779	chrII	591192	591273	-	591192	3.724848	1.241616	591192	591267	76	NA
3780	chrII	591361	591423	-	591387	10.864138	4.345655	591361	591392	32	NA
3797	chrII	598453	598469	-	598454	1.55202	0.620808	598453	598469	17	NA
3803	chrII	602133	602222	-	602219	23.280296	4.035251	602149	602219	71	NA
3806	chrII	605822	605855	-	605822	1.55202	0.620808	605822	605855	34	NA
3807	chrII	607550	607600	-	607592	7.139291	2.172827	607572	607596	25	NA
3844	chrII	620542	620624	-	620568	5.897676	1.241616	620554	620624	71	NA
3845	chrII	623198	623255	-	623241	6.828887	3.724847	623217	623251	35	NA
3851	chrII	628365	628445	-	628387	4.035252	0.931212	628375	628417	43	NA
3852	chrII	629151	629214	-	629194	2.793636	0.931212	629151	629214	64	NA
3853	chrII	629319	629353	-	629323	2.483232	0.931212	629319	629353	35	NA
3854	chrII	629476	629503	-	629484	1.862424	0.931212	629476	629503	28	NA
3855	chrII	629725	629848	-	629773	136.888121	24.211504	629728	629783	56	NA
3856	chrII	631490	631491	-	631491	1.241616	0.931212	631490	631491	2	NA
3891	chrII	644175	644228	-	644199	1.241616	0.620808	644175	644228	54	NA
3892	chrII	644703	644774	-	644716	2.172828	0.620808	644703	644774	72	NA
3893	chrII	644806	644831	-	644827	1.862424	0.931212	644806	644831	26	NA
3894	chrII	644964	645052	-	645002	94.052384	30.419582	644986	645010	25	NA
3901	chrII	650033	650073	-	650055	7.760099	2.483231	650047	650068	22	NA
3902	chrII	650652	650652	-	650652	1.241616	1.241616	650652	650652	1	NA
3903	chrII	651048	651145	-	651050	29.798777	10.553733	651050	651143	94	NA
3905	chrII	651484	651515	-	651495	3.10404	0.931212	651486	651515	30	NA
3906	chrII	652680	652750	-	652706	2.793636	0.931212	652680	652750	71	NA
3907	chrII	652827	652844	-	652827	2.483232	1.241616	652827	652844	18	NA
3908	chrII	653423	653463	-	653423	1.55202	0.620808	653423	653463	41	NA
3909	chrII	653502	653586	-	653535	8.070503	2.172827	653516	653573	58	NA
3979	chrII	676235	676287	-	676235	2.172828	0.620808	676235	676287	53	NA
4001	chrII	681101	681398	-	681102	7738.369263	1528.739211	681102	681374	273	NA
4002	chrII	681447	681503	-	681448	3053.132771	1476.280952	681448	681499	52	NA
4003	chrII	681541	681761	-	681550	2817.846619	410.043553	681549	681715	167	NA
4004	chrII	681860	681979	-	681862	65471.011542	62292.165188	681862	681862	1	NA
4023	chrII	694682	694737	-	694682	2.483232	0.931212	694682	694737	56	NA
4024	chrII	694807	694895	-	694830	15.209794	2.793635	694825	694886	62	NA
4025	chrII	694932	695034	-	694972	27.625951	5.276866	694955	695018	64	NA
4100	chrII	721145	721206	-	721167	10.243329	2.172827	721149	721191	43	NA
4101	chrII	722403	722469	-	722425	3.724848	0.931212	722407	722448	42	NA
4102	chrII	722664	722703	-	722664	1.241616	0.310404	722664	722703	40	NA
4103	chrII	722761	722901	-	722853	31.971605	7.13929	722810	722865	56	NA
4104	chrII	722991	723042	-	723027	5.587272	1.241616	722991	723030	40	NA
4105	chrII	723561	723596	-	723561	2.172828	0.931212	723561	723596	36	NA
4218	chrII	768647	768700	-	768653	3.10404	0.931212	768650	768700	51	NA
4228	chrII	773590	773640	-	773604	2.172828	0.620808	773590	773640	51	NA
4230	chrII	774262	774305	-	774272	1.862424	0.620808	774262	774305	44	NA
4231	chrII	774394	774529	-	774443	39.731703	12.72656	774433	774501	69	NA
4232	chrII	776199	776214	-	776211	5.58727	2.793635	776202	776211	10	NA
4240	chrII	782282	782345	-	782326	12.105754	6.828886	782311	782335	25	NA
4247	chrII	786109	786306	-	786290	13.968179	1.862423	786144	786295	152	NA
4248	chrII	786625	786729	-	786677	13.657775	1.862423	786657	786696	40	NA
4249	chrII	786798	786896	-	786870	188.415169	103.364499	786828	786876	49	NA
4251	chrII	788721	788756	-	788750	1.862424	0.620808	788721	788756	36	NA
4252	chrII	789823	789860	-	789845	3.10404	0.931212	789824	789847	24	NA
4257	chrII	791051	791055	-	791055	1.241616	0.620808	791051	791055	5	NA
4259	chrII	791842	791932	-	791901	14.899388	3.724847	791844	791910	67	NA
4260	chrII	792016	792148	-	792067	63.3224	25.142716	792052	792068	17	NA
4261	chrII	792185	792211	-	792202	22.969889	12.105752	792193	792202	10	NA
4262	chrII	792543	792611	-	792560	69.840879	45.008566	792551	792589	39	NA
4275	chrII	799671	799762	-	799762	8.070503	2.172827	799674	799762	89	NA
4277	chrII	799939	800098	-	799939	8.380908	0.931212	799939	800079	141	NA
4287	chrII	807129	807179	-	807165	16.761812	6.518482	807161	807168	8	NA
2283	chrI	151158	151316	-	151203	847.092249	344.237926	151179	151204	26	YAL001C
2284	chrI	151379	151399	-	151379	1.55202	1.241616	151379	151399	21	YAL001C
2285	chrI	151978	152018	-	152003	6.20808	1.55202	151987	152018	32	YAL001C
273	chrI	143442	143442	+	143442	1.55202	1.55202	143442	143442	1	YAL002W
274	chrI	143539	143682	+	143616	259.497669	54.320683	143572	143630	59	YAL002W
266	chrI	141670	141679	+	141673	3.104039	2.172827	141670	141679	10	YAL003W
267	chrI	141792	141825	+	141813	2.172828	0.931212	141792	141825	34	YAL003W
268	chrI	141941	142167	+	142153	12537.834361	5419.962509	142139	142153	15	YAL003W
2263	chrI	141473	141719	-	141493	22177.117094	13026.720499	141488	141497	10	YAL005C
2264	chrI	141904	141995	-	141904	3.10404	0.620808	141904	141979	76	YAL005C
2266	chrI	142070	142108	-	142108	1.55202	0.620808	142070	142108	39	YAL005C
2267	chrI	142284	142315	-	142287	1.862424	0.931212	142284	142315	32	YAL005C
2254	chrI	138389	138482	-	138417	2019.177378	646.260921	138414	138436	23	YAL007C
2255	chrI	138934	139056	-	138964	14.588986	2.172827	138953	139054	102	YAL007C
259	chrI	136484	136565	+	136559	14.588985	4.656059	136517	136565	49	YAL008W
260	chrI	136796	136905	+	136874	1014.089552	299.850168	136860	136882	23	YAL008W
9	chrI	12335	12345	+	12345	1.241616	0.931212	12335	12345	11	NA
255	chrI	135777	135882	+	135829	216.972336	52.147855	135813	135849	37	YAL009W
2245	chrI	135667	135739	-	135702	276.569881	56.183106	135682	135710	29	YAL010C
2246	chrI	135926	135957	-	135928	1.55202	0.931212	135926	135957	32	YAL010C
2247	chrI	136547	136585	-	136547	1.55202	0.931212	136547	136585	39	YAL010C
246	chrI	131626	131762	+	131717	12.726562	3.724847	131627	131747	121	YAL011W
247	chrI	132154	132301	+	132195	95.604405	24.521908	132185	132220	36	YAL011W
37	chrI	31711	31950	+	31726	59.907958	7.13929	31713	31891	179	NA
38	chrI	32084	32203	+	32097	5.897676	0.931212	32086	32174	89	NA
39	chrI	32445	32481	+	32455	2.793636	1.241616	32445	32481	37	NA
40	chrI	32671	32839	+	32679	13.036966	2.172827	32679	32816	138	NA
243	chrI	130678	130758	+	130735	3698.772886	1759.369309	130703	130748	46	YAL012W
43	chrI	33469	33557	+	33533	5.276868	0.931212	33470	33556	87	NA
44	chrI	33630	34720	+	34258	491.679818	26.694735	33893	34394	502	NA
239	chrI	129200	129297	+	129244	494.47342	78.842591	129221	129251	31	YAL013W
2235	chrI	129019	129143	-	129050	501.612708	141.854583	129036	129074	39	YAL014C
1978	chrI	24404	24468	-	24404	5.276868	0.931212	24404	24467	64	NA
1979	chrI	24705	24755	-	24726	10.553734	3.104039	24718	24753	36	NA
2231	chrI	128033	128141	-	128102	131.921662	35.696449	128073	128102	30	YAL015C
2232	chrI	128279	128313	-	128279	1.241616	0.310404	128279	128313	35	YAL015C
47	chrI	35511	35796	+	35793	285.571603	108.951769	35557	35793	237	NA
225	chrI	124754	124818	+	124782	2769.423606	807.360546	124782	124801	20	YAL016W
48	chrI	36460	36587	+	36525	715.791397	266.636951	36519	36567	49	NA
49	chrI	36626	36800	+	36773	36.938068	14.278579	36643	36776	134	NA
201	chrI	119826	119899	+	119858	289.296437	67.357646	119855	119891	37	YAL017W
2008	chrI	42910	42965	-	42951	17.693025	3.724847	42919	42965	47	NA
2009	chrI	43063	43180	-	43063	209.522637	62.391184	43063	43114	52	NA
2010	chrI	43210	43516	-	43269	141.54419	21.728273	43249	43339	91	NA
2012	chrI	43550	43706	-	43600	26.073931	8.380905	43584	43630	47	NA
2013	chrI	44217	44242	-	44218	1.862424	1.241616	44217	44242	26	NA
2220	chrI	119582	119597	-	119594	1.55202	0.620808	119582	119597	16	YAL018C
2221	chrI	120074	120147	-	120107	3.414444	0.620808	120085	120139	55	YAL018C
53	chrI	37728	37776	+	37748	1.241616	0.620808	37728	37776	49	NA
56	chrI	38214	38294	+	38273	2.793636	0.620808	38214	38294	81	NA
57	chrI	38404	38435	+	38420	1.55202	0.620808	38404	38435	32	NA
58	chrI	38563	38594	+	38564	5.58727	3.104039	38563	38565	3	NA
186	chrI	114786	114862	+	114809	356.964486	167.307702	114806	114828	23	YAL019W
60	chrI	39797	39816	+	39816	1.241616	0.931212	39797	39816	20	NA
61	chrI	40015	40031	+	40031	1.241616	0.931212	40015	40031	17	NA
63	chrI	40333	40385	+	40334	4.65606	1.55202	40333	40364	32	NA
66	chrI	40921	41216	+	40974	14.278584	1.241616	40949	41198	250	NA
68	chrI	41250	41404	+	41347	21.417873	4.345655	41250	41375	126	NA
185	chrI	114162	114178	+	114178	1.55202	0.931212	114162	114178	17	YAL019W-A
2023	chrI	52162	52180	-	52162	5.587271	3.104039	52162	52180	19	NA
2024	chrI	52384	52544	-	52471	5.897676	0.931212	52384	52530	147	NA
2218	chrI	114571	114679	-	114619	252.047974	63.943204	114571	114630	60	YAL020C
2214	chrI	113389	113462	-	113403	510.61442	165.755683	113400	113418	19	YAL021C
2202	chrI	110380	110505	-	110446	161.410034	41.904527	110436	110471	36	YAL022C
2203	chrI	110838	110897	-	110838	2.483232	0.620808	110838	110897	60	YAL022C
2042	chrI	57332	57492	-	57383	239.631818	63.6328	57374	57415	42	NA
2195	chrI	108586	108722	-	108623	336.788238	46.250181	108623	108677	55	YAL023C
2184	chrI	105931	106009	-	105962	162.651646	43.76695	105956	105985	30	YAL024C
2165	chrI	101151	101248	-	101168	699.029587	359.137313	101161	101170	10	YAL025C
2163	chrI	99764	99811	-	99783	1072.755884	779.424195	99775	99783	9	YAL026C
2142	chrI	95722	95977	-	95852	54.320688	6.518482	95773	95877	105	YAL026C-A
2143	chrI	96085	96127	-	96113	6.518483	2.793635	96090	96117	28	YAL026C-A
2144	chrI	96183	96348	-	96294	11.484946	5.58727	96226	96342	117	YAL026C-A
70	chrI	42279	42486	+	42305	53.699882	13.036964	42305	42423	119	NA
178	chrI	94249	94250	+	94250	1.241616	0.931212	94249	94250	2	YAL027W
179	chrI	94555	94680	+	94607	335.236219	91.569151	94595	94646	52	YAL027W
76	chrI	46469	46537	+	46470	4.035252	0.620808	46470	46537	68	NA
77	chrI	46606	46678	+	46606	5.897676	1.241616	46606	46656	51	NA
78	chrI	46738	46922	+	46748	11.484946	1.862423	46748	46914	167	NA
79	chrI	47087	47089	+	47089	5.276867	3.414443	47087	47089	3	NA
80	chrI	47186	47318	+	47205	4.65606	0.931212	47205	47315	111	NA
81	chrI	47372	47508	+	47382	7.139292	0.620808	47382	47464	83	NA
82	chrI	47540	47671	+	47644	31.350797	15.830599	47601	47645	45	NA
83	chrI	47716	47897	+	47717	25.14272	9.622521	47717	47858	142	NA
84	chrI	48005	48172	+	48056	42.214936	7.449694	48016	48095	80	NA
173	chrI	92377	92451	+	92388	23.280295	6.518482	92388	92424	37	YAL028W
174	chrI	92828	93118	+	92859	224.732434	38.800488	92848	92913	66	YAL028W
2061	chrI	66052	66421	-	66251	40.662918	12.72656	66086	66284	199	NA
2138	chrI	92093	92598	-	92522	1144.769602	202.383343	92390	92547	158	YAL029C
87	chrI	49502	49533	+	49533	2.483232	0.931212	49502	49533	32	NA
89	chrI	49975	50008	+	50005	3.10404	0.620808	49976	50007	32	NA
90	chrI	50474	50480	+	50475	1.241616	0.620808	50474	50480	7	NA
91	chrI	50724	50724	+	50724	1.862423	1.862423	50724	50724	1	NA
93	chrI	51106	51120	+	51106	1.241616	0.931212	51106	51120	15	NA
94	chrI	51209	51262	+	51225	2.483232	0.931212	51209	51262	54	NA
171	chrI	87217	87294	+	87264	624.222246	281.225934	87250	87270	21	YAL030W
2118	chrI	87060	87114	-	87078	436.738292	302.643803	87060	87078	19	YAL031C
2119	chrI	87713	87731	-	87722	1.241616	0.620808	87713	87731	19	YAL031C
97	chrI	54892	54921	+	54892	1.55202	0.931212	54892	54921	30	NA
167	chrI	83845	83860	+	83845	1.241616	0.310404	83845	83860	16	YAL031W-A
168	chrI	84285	84314	+	84285	1.241616	0.310404	84285	84314	30	YAL031W-A
169	chrI	84382	84438	+	84410	1.55202	0.620808	84382	84438	57	YAL031W-A
2108	chrI	84465	84555	-	84494	93.431576	29.798774	84482	84507	26	YAL032C
103	chrI	57608	57724	+	57608	4.966464	0.931212	57608	57724	117	NA
163	chrI	82185	82304	+	82261	13.347371	4.656059	82212	82282	71	YAL033W
164	chrI	82484	82523	+	82523	1.241616	0.620808	82484	82523	40	YAL033W
165	chrI	82662	82728	+	82701	1064.685382	373.415892	82685	82704	20	YAL033W
2099	chrI	81947	82022	-	81982	443.56718	119.505502	81974	81997	24	YAL034C
2100	chrI	82263	82297	-	82289	3.10404	0.931212	82279	82297	19	YAL034C
2101	chrI	82443	82483	-	82448	2.793636	0.931212	82443	82483	41	YAL034C
2102	chrI	82522	82631	-	82562	47.802205	10.553733	82553	82596	44	YAL034C
2103	chrI	82907	82922	-	82918	2.172828	0.931212	82907	82922	16	YAL034C
2087	chrI	75203	75217	-	75217	1.55202	1.241616	75203	75217	15	NA
2088	chrI	75359	75378	-	75359	1.241616	0.620808	75359	75378	20	NA
2089	chrI	75444	75549	-	75519	21.107468	4.035251	75474	75548	75	NA
2090	chrI	75642	75650	-	75644	10.553734	4.345655	75643	75646	4	NA
2091	chrI	75702	76067	-	75947	50.285441	9.312117	75809	75999	191	NA
107	chrI	61434	62017	+	61971	326.234519	58.976741	61516	61972	457	NA
108	chrI	62086	62334	+	62151	40.352514	4.966462	62127	62296	170	NA
157	chrI	79657	79718	+	79689	81.325823	34.454833	79674	79695	22	YAL034W-A
111	chrI	63456	63512	+	63486	3.724848	0.931212	63484	63512	29	NA
112	chrI	63893	63954	+	63898	1.862424	0.620808	63893	63954	62	NA
113	chrI	64077	64078	+	64078	1.55202	1.241616	64077	64078	2	NA
114	chrI	64260	64291	+	64289	7.139291	3.724847	64266	64290	25	NA
115	chrI	64493	64577	+	64577	8.070503	2.483231	64521	64577	57	NA
116	chrI	64647	64734	+	64683	7.7601	0.931212	64649	64732	84	NA
117	chrI	65019	65045	+	65021	4.035251	2.483231	65020	65044	25	NA
118	chrI	65134	65174	+	65134	1.241616	0.620808	65134	65174	41	NA
119	chrI	65282	65309	+	65309	2.483231	1.862423	65282	65309	28	NA
142	chrI	76335	76405	+	76401	6758.113729	4159.412269	76392	76405	14	YAL035W
2092	chrI	76174	76229	-	76184	699.339989	299.539764	76180	76199	20	YAL036C
2095	chrI	80980	81007	-	80986	3.724848	0.931212	80986	80994	9	NA
2096	chrI	81106	81555	-	81512	69.220081	13.347368	81230	81512	283	NA
2098	chrI	81738	81862	-	81840	15.520197	5.276866	81772	81862	91	NA
2105	chrI	83795	83830	-	83800	1.55202	0.620808	83795	83830	36	NA
2106	chrI	83987	84051	-	84008	9.312119	4.345655	83991	84051	61	NA
2107	chrI	84082	84304	-	84171	27.005143	4.656059	84082	84292	211	NA
132	chrI	71860	72107	+	71915	947.352728	97.466825	71886	72045	160	NA
133	chrI	72137	72590	+	72588	2942.939414	539.171575	72278	72588	311	NA
134	chrI	72620	72842	+	72798	2710.757276	344.237926	72659	72833	175	NA
135	chrI	72891	72998	+	72968	170.411748	81.325822	72907	72974	68	NA
138	chrI	73810	74061	+	73914	120.436722	16.141003	73902	73957	56	YAL037W
129	chrI	71395	71436	+	71404	4.966463	2.172827	71395	71436	42	YAL038W
131	chrI	71612	71759	+	71759	69764.828702	62563.768601	71758	71759	2	YAL038W
2075	chrI	69548	69659	-	69581	693.442321	93.12117	69564	69605	42	YAL039C
2076	chrI	69998	70120	-	69998	4.035252	0.931212	69998	70095	98	YAL039C
